Personnel Number (P);Days not recorded 2015;Excess 2015
1713;0;219.25
1811;0;17.75
1958;8;69.00
1969;8;92.00
2107;0;224.25
2118;10;105.50
2119;0;207.00
2136;23;88.00
2254;14;-11.25
2304;15;0.75
840;0;252.50
936;2;301.50
1030;0;222.00
1282;0;86.50
1320;0;207.00
1322;1;187.75
1352;0;210.00
1382;0;98.00
1437;0;5.75
1452;0;413.50
1465;0;49.00
1501;0;33.00
1532;0;104.50
1564;0;13.00
1678;2;49.00
1688;0;50.25
1769;0;31.50
2038;2;429.00
2045;0;148.00
2106;8;45.00
2168;1;38.00
2178;0;93.25
2212;0;0.00
2213;0;108.00
2305;0;-4.50
2306;0;0.00
2187;0;3.75
1157;0;396.00
1203;0;488.50
1397;0;83.25
1398;0;19.25
1511;0;366.00
1548;0;167.00
1607;0;126.75
1635;0;152.75
1914;0;132.50
2017;3;203.75
2105;10;120.00
2214;0;102.00
2307;0;14.00
616;0;370.50
981;0;255.75
1199;0;106.50
1421;0;338.00
1652;0;77.50
1820;0;905.00
1922;0;123.25
2165;0;26.25
2251;0;3.75
2262;1;8.00
2283;0;18.50
2303;0;10.25
2318;3;24.00
976;0;0.00
989;0;0.00
656;0;107.50
1052;0;253.50
1249;11;88.00
1801;0;674.50
1857;0;145.00
2050;4;131.00
2079;2;552.00
2208;4;326.50
2231;0;97.50
2320;3;8.50
815;0;33.00
1261;0;20.50
1134;0;1012.50
1193;0;90.00
1656;0;129.25
2286;0;14.50
2314;0;5.75
562;0;0.00
1086;0;0.00
1329;0;0.00
1793;0;0.00
1087;0;253.50
1464;0;10.50
1810;2;295.50
2019;0;62.25
2028;0;59.25
2049;0;33.00
2086;11;90.75
2145;0;123.75
2202;7;55.75
2226;0;13.25
2316;0;6.75
731;0;19.50
739;0;76.00
1048;0;146.00
1446;4;208.00
1829;0;12.00
2089;0;105.75
2148;12;254.25
2154;9;84.00
2298;0;2.50
2299;0;1.50
871;5;116.25
1011;0;43.25
1018;0;51.75
1019;10;667.50
1097;0;80.00
1137;2;243.50
1198;7;61.00
1215;0;92.50
1298;0;170.25
1300;0;21.00
1519;0;83.50
1592;0;140.25
1603;0;24.75
1814;0;81.75
1923;0;101.00
1957;3;48.75
2125;3;126.00
2126;0;144.75
2149;0;216.50
2205;0;43.25
2295;0;0.75
2296;1;10.00
1132;0;42.75
1211;0;16.00
1338;0;162.25
2088;18;154.00
2151;75;362.25
983;0;17.50
1197;1;92.50
1410;0;-73.00
1528;0;25.50
1554;0;17.00
1594;0;173.50
1640;0;86.25
2047;0;21.50
2120;8;103.00
2289;0;1.50
1144;0;73.50
1348;0;67.50
1381;0;105.75
1393;0;13.50
1423;0;101.00
1584;0;42.00
1927;12;96.00
1962;8;66.00
2007;0;-13.50
2069;0;25.00
2124;0;258.00
2294;0;35.50
1004;0;49.00
1029;2;389.00
1172;0;123.00
1196;0;228.00
1200;0;36.50
1409;1;19.75
1797;0;64.00
1883;0;230.25
1964;11;89.25
2025;11;91.00
2121;0;190.00
2290;0;-1.00
925;0;99.25
985;0;38.50
994;1;16.75
1005;1;167.75
1051;0;30.50
1055;0;69.75
1257;0;18.00
1357;0;91.50
1388;1;51.75
1508;0;17.50
1706;0;71.00
2246;0;18.50
2293;0;11.00
818;2;181.50
963;0;165.25
1263;0;125.25
1354;2;47.50
1363;0;17.00
1506;0;58.00
1553;0;214.25
1963;11;103.25
2102;0;159.00
2188;0;27.00
2201;0;112.25
2291;0;6.25
842;0;-1.00
1166;5;37.75
1374;0;30.00
1475;0;47.00
1537;0;65.00
1582;0;342.00
1822;0;391.50
1841;6;42.75
2082;0;30.75
2117;2;71.00
2122;6;268.50
2123;6;165.00
2204;0;8.50
2292;0;8.25
1756;0;0.00
650;0;0.00
1123;0;0.00
1178;0;130.50
1776;0;16.00
2080;0;114.00
2170;0;279.75
